,Detector Type,Detector Time,#KP,Descriptor Type,Descriptor Time,Matcher Type,Selector Type,Matching Time,#Matched KP
5,FAST,2.43662,406,BRIEF,1.9194,MAT_BF,SEL_KNN,2.70688,324
6,FAST,3.57649,396,BRIEF,4.54471,MAT_BF,SEL_KNN,3.8092900000000003,315
7,FAST,2.38102,401,BRIEF,2.13282,MAT_BF,SEL_KNN,3.7259900000000004,307
0,AKAZE,106.529,159,FREAK,35.5013,MAT_BF,SEL_KNN,0.773073,128
1,AKAZE,129.286,154,FREAK,39.2674,MAT_BF,SEL_KNN,1.8046,128
2,AKAZE,100.00200000000001,162,FREAK,34.0727,MAT_BF,SEL_KNN,0.44620699999999996,121
3,AKAZE,100.06299999999999,163,FREAK,33.0958,MAT_BF,SEL_KNN,0.724009,122
4,AKAZE,104.054,173,FREAK,36.2165,MAT_BF,SEL_KNN,0.761953,133
5,AKAZE,105.75200000000001,175,FREAK,34.1507,MAT_BF,SEL_KNN,0.708547,144
6,AKAZE,97.8231,175,FREAK,35.0091,MAT_BF,SEL_KNN,0.5991449999999999,145
7,AKAZE,104.072,175,FREAK,33.3807,MAT_BF,SEL_KNN,0.612055,135
0,HARRIS,29.6741,18,SIFT,29.3575,MAT_FLANN,SEL_KNN,0.37422300000000003,11
1,HARRIS,28.6066,21,SIFT,36.6243,MAT_FLANN,SEL_KNN,0.8615,16
2,HARRIS,31.9029,26,SIFT,31.0117,MAT_FLANN,SEL_KNN,0.6373340000000001,19
3,HARRIS,46.4972,43,SIFT,29.6478,MAT_FLANN,SEL_KNN,0.788028,22
4,HARRIS,25.5116,18,SIFT,29.3268,MAT_FLANN,SEL_KNN,0.633022,22
5,HARRIS,20.4526,31,SIFT,31.5424,MAT_FLANN,SEL_KNN,0.653741,13
6,HARRIS,20.980999999999998,26,SIFT,25.096999999999998,MAT_FLANN,SEL_KNN,1.0105600000000001,24
7,HARRIS,31.9321,34,SIFT,28.346999999999998,MAT_FLANN,SEL_KNN,0.8574309999999999,22
0,HARRIS,43.376000000000005,18,ORB,13.5169,MAT_BF,SEL_NN,0.201825,14
1,HARRIS,37.6478,21,ORB,11.6419,MAT_BF,SEL_NN,0.125067,18
2,HARRIS,37.2519,26,ORB,10.4728,MAT_BF,SEL_NN,0.34880500000000003,21
3,HARRIS,66.65,43,ORB,11.4563,MAT_BF,SEL_NN,0.189905,26
4,HARRIS,40.9416,18,ORB,12.0208,MAT_BF,SEL_NN,0.24498000000000003,43
5,HARRIS,34.1833,31,ORB,10.1716,MAT_BF,SEL_NN,0.22915500000000003,18
6,HARRIS,34.9156,26,ORB,7.733060000000001,MAT_BF,SEL_NN,0.21219000000000002,31
7,HARRIS,46.7529,34,ORB,6.66092,MAT_BF,SEL_NN,0.158342,26
0,AKAZE,109.962,159,SIFT,35.6887,MAT_FLANN,SEL_NN,3.48843,157
1,AKAZE,121.29,154,SIFT,45.6534,MAT_FLANN,SEL_NN,4.41599,159
2,AKAZE,108.56299999999999,162,SIFT,38.4887,MAT_FLANN,SEL_NN,2.66634,154
3,AKAZE,111.274,163,SIFT,38.9369,MAT_FLANN,SEL_NN,2.71657,162
4,AKAZE,109.265,173,SIFT,38.4837,MAT_FLANN,SEL_NN,2.68111,163
5,AKAZE,112.641,175,SIFT,37.3882,MAT_FLANN,SEL_NN,2.9586900000000003,173
6,AKAZE,106.771,175,SIFT,38.9858,MAT_FLANN,SEL_NN,3.6212,175
7,AKAZE,115.96700000000001,175,SIFT,39.2264,MAT_FLANN,SEL_NN,3.10413,175
0,BRISK,284.3,276,SIFT,57.755,MAT_BF,SEL_KNN,1.6442,187
1,BRISK,258.27,275,SIFT,64.9161,MAT_BF,SEL_KNN,1.88831,171
2,BRISK,256.882,293,SIFT,66.5386,MAT_BF,SEL_KNN,1.9823400000000002,177
3,BRISK,300.775,275,SIFT,59.4147,MAT_BF,SEL_KNN,2.19466,168
4,BRISK,253.72,289,SIFT,62.6398,MAT_BF,SEL_KNN,2.1297099999999998,190
5,BRISK,277.847,268,SIFT,67.5705,MAT_BF,SEL_KNN,2.21255,193
6,BRISK,256.082,259,SIFT,59.1709,MAT_BF,SEL_KNN,1.80298,173
7,BRISK,278.995,250,SIFT,61.0693,MAT_BF,SEL_KNN,1.57394,181
0,BRISK,232.292,276,FREAK,38.1418,MAT_BF,SEL_KNN,1.1598,173
1,BRISK,253.395,275,FREAK,35.6289,MAT_BF,SEL_KNN,1.15323,153
2,BRISK,221.453,293,FREAK,32.3909,MAT_BF,SEL_KNN,1.7452599999999998,168
3,BRISK,219.362,275,FREAK,32.9681,MAT_BF,SEL_KNN,1.6435799999999998,158
4,BRISK,250.092,289,FREAK,33.9701,MAT_BF,SEL_KNN,1.65335,181
5,BRISK,252.145,268,FREAK,39.2674,MAT_BF,SEL_KNN,2.0506599999999997,169
6,BRISK,235.321,259,FREAK,30.5367,MAT_BF,SEL_KNN,1.50531,174
7,BRISK,219.465,250,FREAK,34.6026,MAT_BF,SEL_KNN,1.8521400000000001,165
0,ORB,8.11125,106,SIFT,70.1637,MAT_FLANN,SEL_KNN,2.33005,79
1,ORB,12.713,113,SIFT,75.6046,MAT_FLANN,SEL_KNN,2.40457,79
2,ORB,8.87645,109,SIFT,86.6027,MAT_FLANN,SEL_KNN,3.09041,79
3,ORB,18.1499,124,SIFT,77.8647,MAT_FLANN,SEL_KNN,4.01938,82
4,ORB,15.7989,129,SIFT,124.75399999999999,MAT_FLANN,SEL_KNN,3.3249400000000002,93
5,ORB,13.4979,127,SIFT,75.0221,MAT_FLANN,SEL_KNN,3.46969,94
6,ORB,13.6774,124,SIFT,73.1996,MAT_FLANN,SEL_KNN,3.2800199999999995,93
7,ORB,8.36903,125,SIFT,72.482,MAT_FLANN,SEL_KNN,3.02343,92
0,FAST,2.63384,404,BRIEF,1.3091899999999999,MAT_FLANN,SEL_NN,22.9867,427
1,FAST,3.52019,423,BRIEF,1.57867,MAT_FLANN,SEL_NN,19.0157,404
2,FAST,3.66203,386,BRIEF,1.8344599999999998,MAT_FLANN,SEL_NN,18.5357,423
3,FAST,2.40708,414,BRIEF,2.29238,MAT_FLANN,SEL_NN,17.2963,386
4,FAST,2.74105,418,BRIEF,2.0131900000000003,MAT_FLANN,SEL_NN,18.160999999999998,414
5,FAST,3.66151,406,BRIEF,2.61922,MAT_FLANN,SEL_NN,17.6686,418
6,FAST,2.80728,396,BRIEF,1.6548900000000002,MAT_FLANN,SEL_NN,18.7492,406
7,FAST,1.8899599999999999,401,BRIEF,2.99123,MAT_FLANN,SEL_NN,19.2901,396
0,SIFT,165.476,121,FREAK,36.9275,MAT_BF,SEL_NN,0.35332399999999997,130
1,SIFT,140.251,135,FREAK,35.7689,MAT_BF,SEL_NN,0.41248900000000005,120
2,SIFT,156.878,134,FREAK,40.0054,MAT_BF,SEL_NN,0.5007119999999999,134
3,SIFT,168.574,139,FREAK,39.7043,MAT_BF,SEL_NN,0.504582,133
4,SIFT,149.83700000000002,136,FREAK,34.4624,MAT_BF,SEL_NN,0.390842,138
5,SIFT,136.201,147,FREAK,32.5118,MAT_BF,SEL_NN,0.719386,134
6,SIFT,142.335,156,FREAK,35.8002,MAT_BF,SEL_NN,0.48868,146
7,SIFT,132.381,135,FREAK,31.0041,MAT_BF,SEL_NN,0.38050700000000004,155
